Question,Answer
전체 인원 중에 보안 해킹 쪽 준비하시는 분들이 몇 명 정도 되나요?,동아리 내에서 보안 및 해킹 분야를 진로로 선택한 사람은 없습니다.
부원 중에 문과도 있나요?,"네, 에코노베이션은 전공 무관 IT 개발 동아리로 문/이과 상관없이 가입할 수 있습니다. 실제로 동아리원 중에도 문과이신 분들이 많아요!"
비전공국비생인데 한 학기만 포트폴리오 목적으로 할 수는 없는지요?,에코노베이션은 3학기 활동이 원칙입니다.
동방 방문은 사전에 예약해야 할까요?,에코노베이션 동아리 회원은 언제든지 동방을 이용할 수 있습니다! 비회원분들은 오픈 동방 행사를 이용해주세요!
기획자로 들어가서 코딩 스터디를 할 수도 있는 건가요?,에코노베이션 내의 스터디는 모두에게 열려있습니다.
한 번 선택한 직무는 시간이 흘러도 그대로 유지 되나요?,"그 부분에 대해 제한사항은 없지만, 기획자가 개발자로 전환하는 등의 사례는 지금까지 없었습니다."
신입 기수는 처음에 신입 기수끼리 프로젝트를 진행하는 것으로 알고 있습니다. 이후에는 어떤 식으로 팀을 이루나요?,2학기 활동부터는 팀빌딩 행사를 통해 활동 회원들끼리 자유롭게 팀을 구성합니다!
에코노베이션에서는 어떤 활동을 할 수 있나요?,단순히 프로그래밍 지식에만 치중하지 않고 다양한 지식을 서로 공유하여 융합형 인재로 거듭날 수 있습니다.
에코노베이션에서는 어떤 활동을 할 수 있나요?,"앱, 웹, 게임, AI 등 IT 프로젝트를 동아리 회원들은 학기가 시작 되면 팀을 모아 프로젝트를 진행합니다."
에코노베이션에서는 어떤 활동을 할 수 있나요?,멘토 멘티가 함께 한 주에 한 번씩 만나 주간 미팅을 진행합니다. 멘토들의 깊은 피드백과 팀원들 간의 의견을 공유할 수 있습니다.
에코노베이션에서는 어떤 활동을 할 수 있나요?,"관심 분야가 같은 동아리 부원들과 스터디를 진행할 수 있습니다. Spring, JAVA, 알고리즘, React, TypeScript 등의 스터디들이 준비되어 있습니다."
에코노베이션에서는 어떤 활동을 할 수 있나요?,타 대학 개발 동아리와의 교류 및 네이버 DEVIEW CAMPUS 참여와 같은 활동을 통해 구성원들에게 다양한 경험을 제공하도록 노력하고 있습니다.
회장단은 무슨 일을 하나요?,"우리 회장단은 동아리 내부적으로는 에코노베이션 회원들의 관리와 주간발표, 에코노베이션을 위한 각종 프로젝트(신입 모집, DEV 등)의 전체적인 진행을 맡고 있으며 대외적으로는 외부 행사, 대회, 지원사업에 동아리가 참가하고 지원하는 것을 관리하고 있습니다. 또한 동아리의 재정적인 부분도 담당하여 모든 활동이 조금 더 원활하게 진행될 수 있도록 하고 있습니다."
새로 들어올 신입 회원에게 한마디 해주세요!,이번에 새로 들어오시게 된 여러분을 정말 환영하고 동아리 활동을 하며 궁금한 점이나 힘든 점이 있다면 언제나 회장단에게 도움을 요청해주세요.
